,firm,y1-x1,y2-x1,y3-x1,y1-x2,y2-x2,y3-x2,y1-x3,y2-x3,y3-x3,y1-x4,y2-x4,y3-x4,y1-x5,y2-x5,y3-x5
0,1,0.08796468739772219,0.052307365632073166,0.012570050213929559,0.6288505828594261,0.4702986410921232,0.1661787749579334,0.7968808965093972,0.6820255682778207,0.73992345359547,0.639519128923086,0.595561783400855,0.5216024781595054,0.6735605155288283,0.5795400746621961,0.541966426858513
1,2,0.15858319879761665,0.17760698494198127,0.16377726262072267,0.2969151152084698,0.35092584264910665,0.4150545919976185,0.22874910875469123,0.25551937540709735,0.09442332679735596,0.19672754126759726,0.24405126150671205,0.1612903154290432,0.5309702787093791,0.6025565205243428,0.6960831334932054
2,3,0.1587754711135262,0.12038632330371293,0.08648549947904158,0.580291128495151,0.45538219966090815,0.38872087570737474,0.6108429275377524,0.5181132772057429,0.5704492463901982,0.5871013896536719,0.5683154999457276,0.650981764793638,0.41744085938604264,0.3705480143115477,0.3705480060396127
3,4,0.07638324354407165,0.05748073096110581,0.08223604226291459,0.3046616814166556,0.18554751828563215,0.5397022944680551,0.24315352649829786,0.15386060564435858,0.2165967435432121,0.1846694772920537,0.11002074601495276,0.17154534553873063,0.17430487865320754,0.16545870018593475,0.23387004681968712
4,5,0.10103734163117481,0.029142014383495132,0.019036616912296935,0.690627619328018,0.2882024403067142,0.2704210605726908,0.8063584049778068,0.4663131791440846,0.7113225370288199,0.7557740546163401,0.4985664515769034,0.7330978586746741,0.15117959986122353,0.08591585368693101,0.07873701039168665
5,6,0.23096092273464777,0.24644554247002295,0.22868317042368674,0.3397178377476486,0.3808509086098025,0.47033785665192146,0.31644458876490794,0.3498566145181292,0.34075356590310246,0.27851665463467956,0.343888414904562,0.36320603757565434,0.3031976408002775,0.339728515215721,0.3772981614708233
6,7,0.05094930474685974,0.008838441708074955,0.04744078599696354,0.3209411563850886,0.039680158169866094,0.47894585029478093,0.24832619339778983,0.04720533290850872,0.14732666296398172,0.25361347615838065,0.0787536125065861,0.3306439971336133,0.21283186571725943,0.15682387416304386,0.27109740778805524
7,8,0.20286977071395368,0.2611163842274408,0.4029237061606685,0.0,0.0,0.43542354567778735,0.0,0.0,0.03584454511616934,0.0,0.0,0.15209427972158632,0.22543945877182836,0.3005425038999744,0.5267785771382892
8,9,0.13035572959147418,0.1003410398872207,0.121410927221326,0.2813865319522813,0.12481808909900263,0.20728058663041138,0.32959875037034614,0.22807398318799205,0.3535943345399418,0.20476382778599544,0.11382606582906347,0.10478683310485609,0.3183040360818781,0.2897855596172204,0.3894884092725819
9,10,0.1277648231745393,0.09222212600368085,0.05563348846562951,0.5740159913437838,0.44294083458199773,0.26745679747034595,0.6026971026634294,0.5050814657808972,0.45944018041080803,0.6251906924695244,0.6105319932563733,0.6686127357559808,0.5589285943744138,0.495419632070078,0.48938626876276753
10,11,0.1278372039720628,0.059766241496024754,0.05639274090987387,0.6473283350929269,0.32258561555366083,0.4860087346540447,0.6681239388143669,0.40735779675339234,0.6483712558142456,0.5551510325023544,0.36158138745219937,0.5107978267242824,0.9154041864230368,0.6812358844210574,0.8326139088729017
11,12,0.22806072287896753,0.22284330865356097,0.10105279296611261,0.7587038012304574,0.8713578792909281,0.3584788177030193,0.6607461967034222,0.7256026233674469,0.28466078704197856,0.5130910866223767,0.6192642362435506,0.16509164598467865,0.8655371805250377,0.888588791357191,0.6746602717825739
12,13,0.10217459221009567,0.08280041777372334,0.0918608071998597,0.3111932948784315,0.20055660376110876,0.3062610468366221,0.28822046367822135,0.2108486295648509,0.19448058125265755,0.22978963102856245,0.17334609881345484,0.17630893351952795,0.38402253465281105,0.3671331113646417,0.47025236953294497
13,14,0.11244862502350654,0.06793662696089191,0.03581365389757752,0.7067310857853695,0.5218188598785644,0.4836741580318513,0.7324006818852976,0.5826721898567262,0.6772618749786848,0.484178959124598,0.3845164501019228,0.24712004015321387,0.339983038433368,0.2790286153344664,0.26219024780175854
14,15,1.0,1.0,0.9943535335514121,0.3824209655208653,0.3756795119763693,0.5489457419594529,0.31506142169892665,0.30217167332947636,0.2749846372168608,0.4008144939171785,0.468873016492143,0.6957556203579118,0.26891407424540303,0.2831264988707537,0.32230215827338127
